央视频道,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰中文,mitv://generationnexxxt.com:19806/98826034592245d18d0a7f9e29f1398f
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://kkwk1122.top/fh.php?id=fhzw

凤凰资讯,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=1
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://2022.stream-link.org/live/433059615
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰资讯,http://115.231.143.224/playtv-live.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,rtmp://115.231.143.224/playtv-live.ifeng.com/live/06OLEEWQKN4
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://120.84.96.82:808/hls/28/index.m3u8
凤凰资讯,P2p://generationnexxxt.com:19806/0b7958cc2d1c4a6f9f9449e92ad92b9e
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://kkwk1122.top/fh.php?id=fhzx
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰资讯,mitv://generationnexxxt.com:19806/c25ff00d1f62473190819062e87bb70d
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰资讯,http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3

TVBS HD,mitv://generationnexxxt.com:19806/1b811ad38b0f47a393d0a76155b2fd44
TVBS HD,P2p://generationnexxxt.com:19806/644d1a13000e2f842f02b17e6e9f6cae

TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8 
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,mitv://generationnexxxt.com:19806/ccaccfce17074a428d1578a82c65b6b8
TVBS新闻,http://sc2022.stream-link.org/tv2306.php?id=t13
TVBS新闻,rtmp://9wv7.mine.nu/sat/tv551
TVBS新闻,rtmp://218.32.29.20/sat/tv551
TVBS新闻,rtmp://119.81.124.89/sat/tv551
TVBS新闻,mitv://generationnexxxt.com:19806/beaa6cbcf1034703a97d3295f8c0ae60
TVBS新闻,P2p://generationnexxxt.com:19806/beaa6cbcf1034703a97d3295f8c0ae60

东森新闻,http://198.16.100.90:8278/ettvnews/playlist.m3u8?ct=19225&tid=MAEA2793211727932117&tsum=151345e2ab6bc0c89ac85598f1988cd3
东森新闻,http://198.16.100.90:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
东森新闻,http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
东森新闻,mitv://generationnexxxt.com:19806/8bc09abe58e944ca97b838dbce2b4455
东森新闻,http://sc2022.stream-link.org/tv2306.php?id=t01
东森新闻,http://sc2022.stream-link.org/tv2306.php?id=t01
东森新闻,http://61.221.81.93:8078/hls/33/80/ebcnews.m3u8
东森新闻,http://116.11.140.104:8181/tsfile/live/1201_1.m3u8
东森新闻,mitv://generationnexxxt.com:19806/ba830fdb097a47af9f74ef81c7d1d715
东森新闻,P2p://generationnexxxt.com:19806/64677d68000bfdc49616bfd746a567a3
东森新闻,P2p://generationnexxxt.com:19806/645c9fee000e01606ba59bc415d52492

中天新闻,http://66.181.39.224/ml.php?id=ctinews
中天新闻,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/yg.php?id=cti
中天新闻,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/ytb.php?id=oIgbl7t0S_w
中天新闻,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/ytb.php?id=WPfPjbOLNfE
中天新闻,http://lzoq.hk3.20212021.ml.cdn.cloudflare.net/daili/yg.php?id=cti2
中天新闻,mitv://generationnexxxt.com:19806/26ab4a8f123c4a3292451f072035a681
中天新闻,http://sc2022.stream-link.org/tv2306.php?id=t03
中天新闻,mitv://generationnexxxt.com:19806/6448e5a6000f399c1e95e7f44ef6793c
中天新闻,P2p://generationnexxxt.com:19806/645a505500087efb629eacb405a54a42


体育频道,#genre#
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
五星体育,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://222.71.90.218:8888/newlive/live/hls/56/live.m3u8
五星体育,P2p://generationnexxxt.com:19806/951eda934cf3474d99e84a3ec47648fa

劲爆体育,http://cfyy.cc/Cf/bstv/jbtyhd.m3u8
劲爆体育,http://wabc.ml/gudou.php?id=jinbaotiyuHD_7000
劲爆体育,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
劲爆体育,http://suixiaobin.dsmynas.net:5666/ghyx.php?id=JinBaoTiYuHD_6000

广东体育,http://157.122.177.10:9901/tsfile/live/1001_1.m3u8
广东体育,http://171.38.79.141:8181/tsfile/live/1088_1.m3u8
广东体育,http://wabc.ml/gudou.php?id=1413
广东体育,http://120.84.96.33:808/hls/22/index.m3u8
广东体育,P2p://generationnexxxt.com:19806/645e3c3f0008eacb71f036e30c4b2c2f

纬来体育,rtmp://9wv7.mine.nu/sat/tv721
纬来体育,rtmp://218.32.29.20/sat/tv721
纬来体育,http://123.51.230.108:18509/.m3u8
纬来体育,P2p://generationnexxxt.com:19806/801a9a12c10d4d04953332771aee0dba

JJ斗地主,http://hdltctwk.douyucdn2.cn/live/488743rAHScWyyII.xs
JJ斗地主,http://mmitv.top/pltv/huya.php?id=14079954
JJ斗地主,http://epg.112114.xyz/douyu/488743
JJ斗地主,http://bp-caster.bestv.com.cn:80/359/1/video.m3u8


科教频道,#genre#
探索频道,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=ME6E2405719624057196&ct=19225&tsum=57a7c421c65e00c1b8f68f67c30141dc
探索频道,http://198.16.100.90:8278/ba86fcd935/playlist.m3u8?tid=m1b458a366fcb&ct=18335&tsum=6ee1498a5e37d8bd1e3f62954629ed4f
探索频道,http://198.16.100.90:8278/discoverych_twn/playlist.m3u8?tid=MA3A2844188928441889&ct=18393&tsum=5b966ba17918ab0d7dd4c462d1b0b811
探索频道,http://66.181.39.224/ml.php?id=ba86fcd935
探索频道,http://66.181.39.224/ml.php?id=discoveryhd_twn

国家地理,http://66.181.39.224/ml.php?id=natgeohd_twn
国家地理,http://198.16.100.90:8278/natgeohd_twn/playlist.m3u8?tid=MB5B4841803948418039&ct=18393&tsum=a2343b2c061fc9de3fa7857e832d9625
国家地理,http://198.16.100.90:8278/natgeowild_twn/playlist.m3u8?tid=mc9d789e8a1bb12836354&ct=17877&tsum=82c5ce1596dc364c112c79b239c3f5e8
国家地理,http://198.16.100.90:8278/natgeowild_twn/playlist.m3u8?tid=mc9d789e8a1bb12836354&ct=17877&tsum=82c5ce1596dc364c112c79b239c3f5e8
国家地理,http://198.16.100.90:8278/natgeowild_twn/playlist.m3u8?tid=ME7E6122598161225981&ct=19225&tsum=c88897efa30d472128421acf3d4b62c8

动物星球,http://198.16.100.90:8278/animalplanet_twn/playlist.m3u8?tid=MABA3681856636818566&ct=18393&tsum=2066d4c793195f8449577d35af941288
动物星球,http://198.16.100.90:8278/animalplanet_twn/playlist.m3u8?tid=m4da2c053371613331372&ct=17874&tsum=4481f502bb91c2c67964feecfbc4b702
动物星球,http://66.181.39.224/ml.php?id=animalplanet_twn


斗鱼频道,#genre#
赵本山经典小品,http://angtv.cc/test/douyu.php?id=9817716
铁齿铜牙纪晓岚,http://angtv.cc/test/douyu.php?id=9071554
拳击大王,http://angtv.cc/test/douyu.php?id=9385340
昆仑决KLF,http://angtv.cc/test/douyu.php?id=1753007
